record_index,timestamp,sat_id,international_designator,launch_year,launch_num,launch_piece,sma,ecc,inc,raan,aop,true_anomaly,cluster_label,is_noise,umap_1,umap_2,umap_3,source_folder,inclination_group,inclination_sort,local_cluster_label,global_cluster_id
393,2025-04-10 00:00:00,sat1765.txt,20062V,20,62,V,6925.3662,0.000155,53.0556,53.4086,98.7371,255.64019,-1,1,1.8359207,-2.3889585,4.7457795,starlink_labels_53.0,53.0,53,-1,0
401,2025-04-10 00:00:00,sat1781.txt,20073R,20,73,R,6925.3467,0.0001743,53.0538,311.3403,113.0341,292.73678,-1,1,-1.67828,7.8813286,4.6949201,starlink_labels_53.0,53.0,53,-1,0
414,2025-04-10 00:00:00,sat1807.txt,20073AN,20,73,AN,6925.3702,0.0001499,53.0542,296.1225,93.1046,15.347246,-1,1,0.23082779,9.3562136,4.7617297,starlink_labels_53.0,53.0,53,-1,0
417,2025-04-10 00:00:00,sat1814.txt,20073AU,20,73,AU,6925.3556,0.0002654,53.0551,296.3766,107.2038,161.05288,-1,1,-0.5720104,10.371761,5.8910809,starlink_labels_53.0,53.0,53,-1,0
424,2025-04-10 00:00:00,sat1822.txt,20073BB,20,73,BB,6925.3915,0.0001373,53.0546,275.8311,92.907,25.765338,-1,1,3.2515857,9.8512125,5.7410021,starlink_labels_53.0,53.0,53,-1,0
425,2025-04-10 00:00:00,sat1826.txt,20073BF,20,73,BF,6925.3757,0.0001429,53.0532,271.1226,77.8921,28.046799,-1,1,4.2660055,9.8486385,6.2573504,starlink_labels_53.0,53.0,53,-1,0
428,2025-04-10 00:00:00,sat1832.txt,20074AT,20,74,AT,6925.2034,0.0002255,53.0562,10.0216,93.0192,47.815845,-1,1,-3.2129819,1.4806722,4.2574539,starlink_labels_53.0,53.0,53,-1,0
437,2025-04-10 00:00:00,sat1862.txt,20088AD,20,88,AD,6763.6576,0.0008171,53.0469,340.7256,153.6309,239.90427,-1,1,-3.8247664,5.3251033,3.9389198,starlink_labels_53.0,53.0,53,-1,0
466,2025-04-10 00:00:00,sat1958.txt,21009M,21,9,M,6925.3625,0.0001361,53.0534,58.3193,91.0872,155.84288,-1,1,2.376826,-2.6977849,6.233501,starlink_labels_53.0,53.0,53,-1,0
470,2025-04-10 00:00:00,sat1964.txt,21009T,21,9,T,6925.3339,0.0001518,53.0525,68.2604,86.6304,85.357038,-1,1,2.2836533,-4.4373879,6.4534583,starlink_labels_53.0,53.0,53,-1,0
471,2025-04-10 00:00:00,sat1965.txt,21009U,21,9,U,6897.7831,0.0003693,53.0561,56.1752,112.0132,18.734589,-1,1,0.86329716,-3.6820862,5.6641793,starlink_labels_53.0,53.0,53,-1,0
474,2025-04-10 00:00:00,sat1971.txt,21009AA,21,9,AA,6925.4068,0.0001489,53.0549,68.0744,80.9815,231.06833,-1,1,3.5964818,-4.0102196,5.0549493,starlink_labels_53.0,53.0,53,-1,0
475,2025-04-10 00:00:00,sat1972.txt,21012H,21,12,H,6925.3719,0.000187,53.0546,32.2615,82.1099,323.02781,-1,1,-0.51090378,-0.61420149,4.1220741,starlink_labels_53.0,53.0,53,-1,0
477,2025-04-10 00:00:00,sat1975.txt,21009AB,21,9,AB,6925.3213,0.0001682,53.0542,68.175,84.6933,347.32267,-1,1,2.4804878,-5.1497316,5.2572927,starlink_labels_53.0,53.0,53,-1,0
478,2025-04-10 00:00:00,sat1978.txt,21009AE,21,9,AE,6925.3452,0.0001456,53.0541,58.3048,94.2701,132.67817,-1,1,2.0398216,-2.8082116,6.3451457,starlink_labels_53.0,53.0,53,-1,0
482,2025-04-10 00:00:00,sat1986.txt,21009AL,21,9,AL,6925.3255,0.0001804,53.0538,77.9817,103.8036,93.491034,-1,1,3.7200813,-5.4159513,7.1454535,starlink_labels_53.0,53.0,53,-1,0
483,2025-04-10 00:00:00,sat1991.txt,21009AR,21,9,AR,6925.3773,0.0001344,53.0548,68.0601,97.8918,194.22142,-1,1,3.5775735,-3.8399503,5.5237966,starlink_labels_53.0,53.0,53,-1,0
486,2025-04-10 00:00:00,sat1994.txt,21009AT,21,9,AT,6925.3855,0.0001509,53.0539,78.0128,88.9326,148.21431,-1,1,4.2191558,-5.0697422,6.7488098,starlink_labels_53.0,53.0,53,-1,0
489,2025-04-10 00:00:00,sat2001.txt,21009BA,21,9,BA,6925.3604,0.0001573,53.0551,97.9202,82.7201,44.497332,-1,1,6.1511812,-7.8240638,7.4489279,starlink_labels_53.0,53.0,53,-1,0
490,2025-04-10 00:00:00,sat2010.txt,21012Q,21,12,Q,6853.044,0.0001098,53.0497,124.4709,75.7339,316.34491,-1,1,9.7799683,-8.0402136,5.0432706,starlink_labels_53.0,53.0,53,-1,0
494,2025-04-10 00:00:00,sat2021.txt,21009BJ,21,9,BJ,6925.386,0.0001662,53.0572,69.0024,94.3568,257.09234,-1,1,3.2358305,-4.537024,4.8543453,starlink_labels_53.0,53.0,53,-1,0
496,2025-04-10 00:00:00,sat2024.txt,21009BL,21,9,BL,6925.3344,0.0001645,53.0538,68.9848,80.3733,251.08647,-1,1,3.5179787,-4.1524014,4.9889565,starlink_labels_53.0,53.0,53,-1,0
498,2025-04-10 00:00:00,sat2030.txt,21012AD,21,12,AD,6908.0626,9.79e-05,53.0519,125.3885,120.4505,357.33268,-1,1,10.372958,-7.8009787,5.9883704,starlink_labels_53.0,53.0,53,-1,0
503,2025-04-10 00:00:00,sat2036.txt,21012AJ,21,12,AJ,6925.3505,0.0001476,53.0533,127.4003,98.5407,129.15862,-1,1,10.185582,-6.1199064,6.216763,starlink_labels_53.0,53.0,53,-1,0
504,2025-04-10 00:00:00,sat2038.txt,21012AL,21,12,AL,6792.3544,0.0005971,53.0513,92.4098,21.4284,58.726967,-1,1,5.048203,-7.9291754,6.5119095,starlink_labels_53.0,53.0,53,-1,0
507,2025-04-10 00:00:00,sat2041.txt,21012AP,21,12,AP,6925.3372,0.0001421,53.0544,127.6229,81.6471,40.771133,-1,1,10.744688,-7.5176878,5.6412182,starlink_labels_53.0,53.0,53,-1,0
511,2025-04-10 00:00:00,sat2047.txt,21005G,21,5,G,6925.3598,0.0001701,53.0538,68.7202,91.4016,280.23162,-1,1,3.0383482,-4.6153193,4.8489623,starlink_labels_53.0,53.0,53,-1,0
518,2025-04-10 00:00:00,sat2061.txt,21036AN,21,36,AN,6925.3733,0.0001434,53.054,147.1052,85.4165,127.32227,-1,1,11.50342,-4.3719182,4.5881329,starlink_labels_53.0,53.0,53,-1,0
520,2025-04-10 00:00:00,sat2065.txt,21012BE,21,12,BE,6925.368,0.0001549,53.0542,97.6737,92.4304,94.936585,-1,1,6.1222568,-7.1469383,7.6122212,starlink_labels_53.0,53.0,53,-1,0
521,2025-04-10 00:00:00,sat2068.txt,21017A,21,17,A,6925.3597,0.0001538,53.0535,251.5338,83.0685,232.6001,-1,1,7.4096847,9.8387547,5.9564867,starlink_labels_53.0,53.0,53,-1,0
523,2025-04-10 00:00:00,sat2071.txt,21005N,21,5,N,6925.3499,0.0001772,53.0556,88.7307,106.2125,275.48529,-1,1,5.0759883,-6.7977023,5.5938745,starlink_labels_53.0,53.0,53,-1,0
525,2025-04-10 00:00:00,sat2081.txt,21005T,21,5,T,6925.3386,0.0001398,53.0522,118.0994,90.2352,246.85957,-1,1,8.9017382,-7.2573543,5.7165856,starlink_labels_53.0,53.0,53,-1,0
535,2025-04-10 00:00:00,sat2096.txt,21005AD,21,5,AD,6925.3462,0.0001363,53.0519,118.1316,83.5053,293.54568,-1,1,9.1632385,-7.6474695,5.3305845,starlink_labels_53.0,53.0,53,-1,0
548,2025-04-10 00:00:00,sat2110.txt,21005AS,21,5,AS,6925.3334,0.0001506,53.054,97.8381,77.6194,314.74154,-1,1,6.0944672,-7.8224106,6.2256918,starlink_labels_53.0,53.0,53,-1,0
569,2025-04-10 00:00:00,sat2143.txt,21017M,21,17,M,6925.3489,0.0001273,53.0525,276.3445,84.1995,294.06718,-1,1,3.2343826,10.213272,6.8434577,starlink_labels_53.0,53.0,53,-1,0
583,2025-04-10 00:00:00,sat2163.txt,21017AD,21,17,AD,6925.3789,0.0001205,53.0532,256.2508,90.9495,177.39623,-1,1,6.5334291,10.197393,5.9224043,starlink_labels_53.0,53.0,53,-1,0
608,2025-04-10 00:00:00,sat2220.txt,21041T,21,41,T,6925.37,0.0001463,53.0546,197.1054,99.8587,117.96451,-1,1,11.117533,2.3078508,3.8371055,starlink_labels_53.0,53.0,53,-1,0
